Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Ford Flex SEL,Ford,2017,"$21,995","32,788",Silver,Black,Automatic,AWD
2018 BMW i3 94Ah s,BMW,2018,"$31,990","6,353",Red,Black,Automatic,RWD
2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen,2013,"$9,980","77,205",Red,Black,Automatic,FWD
2015 Cadillac Escalade ESV Luxury,Cadillac,2015,"$28,999","100,000",Black,Black,Automatic,4x4/4-wheel drive
2018 INFINITI QX80 Base,INFINITI,2018,"$34,490","38,671",Brown,Black,Automatic,RWD
2017 Audi A5 2.0T Sport,Audi,2017,"$28,991","14,625",Blue,Black,Automatic,AWD
2017 Lexus GX 460 Base,Lexus,2017,"$32,998","40,363",White,Beige,Automatic,4x4/4-wheel drive
2017 Nissan Maxima 3.5 Platinum,Nissan,2017,"$25,999","30,196",White,Other,CVT,FWD
2013 Land Rover Range Rover HSE,Land,2013,"$29,490","99,595",White,White,Automatic,4x4/4-wheel drive
2015 Lincoln MKZ Hybrid Base,Lincoln,2015,"$10,700","103,040",Silver,Black,CVT,FWD
2019 Audi Q5 2.0T Premium,Audi,2019,"$30,927","15,199",Black,Black,Automatic,AWD
2016 BMW X1 xDrive 28i,BMW,2016,"$17,455","52,708",White,Other,Automatic,AWD
2012 FIAT 500 Sport,FIAT,2012,"$6,499","45,550",Orange,Black,Manual,FWD
2011 Lexus LX 570 Base,Lexus,2011,"$24,900","135,125",Silver,Beige,Automatic,4x4/4-wheel drive
2020 Chevrolet Express 2500 Work Van,Chevrolet,2020,"$24,877","16,600",White,Gray,Automatic,RWD
2020 Honda Pilot Touring 8-Passenger,Honda,2020,"$39,000",408,White,Beige,Automatic,AWD
2018 Nissan Pathfinder SL,Nissan,2018,"$19,000","67,799",Black,Gray,CVT,FWD
2016 Toyota Corolla LE ECO,Toyota,2016,"$13,000","16,663",White,Gray,CVT,FWD
2017 Lincoln MKC Reserve,Lincoln,2017,"$19,900","62,806",Black,Black,Automatic,AWD
2006 Toyota Camry Solara SLE,Toyota,2006,"$8,599","52,605",Silver,Gray,Automatic,FWD
2015 Lincoln MKZ Hybrid Base,Lincoln,2015,"$12,689","88,359",Black,Black,CVT,FWD
2018 Hyundai Accent SE,Hyundai,2018,"$10,985","38,648",Silver,Black,Automatic,FWD
2019 Audi Q7 3.0T Premium Plus,Audi,2019,"$53,599","6,495",Black,Brown,Automatic,AWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$16,996","22,260",White,Gray,Automatic,FWD
2015 Hyundai Genesis 3.8,Hyundai,2015,"$15,995","72,743",Beige,Beige,Automatic,RWD
2016 Lincoln MKZ Hybrid Base,Lincoln,2016,"$18,490","16,447",Beige,Beige,CVT,FWD
2017 Lincoln MKC Reserve,Lincoln,2017,"$23,990","29,134",White,Black,Automatic,AWD
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,2017,"$25,875","43,619",Blue,Beige,Automatic,AWD
2018 Audi S4 Prestige,Audi,2018,"$37,999","34,495",Black,Black,Automatic,AWD
2017 Nissan Sentra SV,Nissan,2017,"$10,350","21,002",Red,Gray,CVT,FWD
2014 Chevrolet Malibu 1FL,Chevrolet,2014,"$7,999","72,854",Gray,Gray,Automatic,FWD
2019 Toyota Camry Hybrid XLE,Toyota,2019,"$29,990","5,123",White,Gray,CVT,FWD
2016 Porsche Panamera 4,Porsche,2016,"$38,000","44,095",Black,Beige,Automatic,AWD
2019 GMC Yukon XL SLT,GMC,2019,"$38,850","38,173",White,Black,Automatic,4x4/4-wheel drive
